feature,importance
days_past_due,0.18506411673231593
credit_score,0.1590551634259027
previous_late_payments,0.10476433493596861
payment_reliability_score,0.08384713294791202
engagement_score,0.06894572402306509
current_outstanding,0.062249905258685324
previous_defaults,0.057210026772498285
avg_payment_delay_days,0.04373099719311055
loan_amount,0.03819602683977512
monthly_income,0.03806272426769497
amount_due,0.03586990613965705
monthly_installment,0.03574372370518049
account_age_months,0.03473576475423389
age,0.03088190924430573
employment_type,0.009741597928013148
previous_reminder_response,0.006709323734214954
payment_frequency,0.005191622097466145
